doi	Institution	Journal Title	Journal Discipline	Journal ISSN	Journal eISSN	Year
10.1208/s12248-017-0161-x	Karolinska Institute	The AAPS Journal	Biomedicine		1550-7416	2017
10.1007/s10549-017-4508-x	Linköping University	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2017
10.1007/s11266-017-9919-0	Dalarna University	VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	Social Sciences	0957-8765	1573-7888	2017
10.1007/s00268-017-4320-0	Linköping University	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2017
10.1007/s10641-017-0693-z	Stockholm University	Environmental Biology of Fishes	Life Sciences	0378-1909	1573-5133	2017
10.1007/s11165-017-9674-7	Stockholm University	Research in Science Education	Education	0157-244X	1573-1898	2017
10.1007/s00415-017-8680-z	University of Gothenburg	Journal of Neurology	Medicine & Public Health	0340-5354	1432-1459	2017
10.1007/s00330-017-5103-6	Uppsala University	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2017
10.1007/s10555-017-9697-6	Linköping University	Cancer and Metastasis Reviews	Biomedicine	0167-7659	1573-7233	2017
10.1007/s12155-017-9884-x	Swedish University of Agricultural Sciences	BioEnergy Research	Life Sciences	1939-1234	1939-1242	2017
10.1007/s11276-017-1605-z	Mälardalen University	Wireless Networks	Engineering	1022-0038	1572-8196	2017
10.1007/s10823-017-9337-1	Linköping University	Journal of Cross-Cultural Gerontology	Social Sciences	0169-3816	1573-0719	2017
10.1007/s00128-017-2190-7	Lund University	Bulletin of Environmental Contamination and Toxicology	Environment	0007-4861	1432-0800	2017
10.1007/s00701-017-3394-7	University of Gothenburg	Acta Neurochirurgica	Medicine & Public Health	0001-6268	0942-0940	2017
10.1007/s40962-017-0186-z	Jönköping University	International Journal of Metalcasting	Materials Science	1939-5981	2163-3193	2017
10.1007/s11144-017-1315-7	Karolinska Institute	"Reaction Kinetics, Mechanisms and Catalysis"	Chemistry	1878-5190	1878-5204	2017
10.1007/s10494-017-9869-z	Royal Institute of Technology	"Flow, Turbulence and Combustion"	Engineering	1386-6184	1573-1987	2017
10.1007/s00406-017-0850-6	Uppsala University	European Archives of Psychiatry and Clinical Neuroscience	Medicine & Public Health	0940-1334	1433-8491	2017
10.1007/s00773-017-0497-z	Royal Institute of Technology	Journal of Marine Science and Technology	Engineering	0948-4280	1437-8213	2017
10.1007/s10798-017-9433-0	Royal Institute of Technology	International Journal of Technology and Design Education	Education	0957-7572	1573-1804	2017
10.1007/s13280-017-0984-9	Swedish University of Agricultural Sciences	Ambio	Environment	0044-7447	1654-7209	2017
10.1007/s00467-017-3816-z	Lund University	Pediatric Nephrology	Medicine & Public Health	0931-041X	1432-198X	2017
10.1007/s10344-017-1156-8	Kristianstad University	European Journal of Wildlife Research	Life Sciences	1612-4642	1439-0574	2017
10.1007/s00468-017-1638-z	Swedish University of Agricultural Sciences	Trees	Life Sciences	0931-1890	1432-2285	2017
10.1007/s00415-017-8665-y	University of Gothenburg	Journal of Neurology	Medicine & Public Health	0340-5354	1432-1459	2017
10.1007/s11356-017-0612-z	Umea University	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2017
10.1007/s00125-017-4464-3	Lund University	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2017
10.1007/s10549-017-4599-4	Karolinska Institute	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2017
10.1007/s11901-017-0378-2	Linköping University	Current Hepatology Reports	Medicine & Public Health		2195-9595	2017
10.1007/s00268-017-4341-8	Karolinska Institute	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2017
10.1007/s11242-017-0975-0	Chalmers University of Technology	Transport in Porous Media	Earth Sciences	0169-3913	1573-1634	2017
10.1007/s11192-017-2584-7	Uppsala University	Scientometrics	Computer Science	0138-9130	1588-2861	2017
10.1007/s11356-017-0633-7	Lund University	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2017
10.1007/s00228-017-2361-9	Lund University	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2017
10.1007/s00220-017-3027-2	Lund University	Communications in Mathematical Physics	Physics	0010-3616	1432-0916	2017
10.1007/s00228-017-2360-x	University of Gothenburg	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2017
10.1007/s00265-017-2400-7	Lund University	Behavioral Ecology and Sociobiology	Life Sciences	0340-5443	1432-0762	2017
10.1007/s00125-017-4480-3	Stockholm University	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2017
10.1007/s10549-017-4584-y	Lund University	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2017
10.1007/s12026-017-8972-5	Malmö University	Immunologic Research	Medicine & Public Health	0257-277X	1559-0755	2017
10.1007/s11075-017-0438-2	Royal Institute of Technology	Numerical Algorithms	Computer Science	1017-1398	1572-9265	2017
10.1007/s40273-017-0579-0	Karolinska Institute	PharmacoEconomics	Medicine & Public Health	1170-7690	1179-2027	2017
10.1007/s00268-017-4364-1	Uppsala University	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2017
10.1007/s10659-017-9658-x	Linköping University	Journal of Elasticity	Physics	0374-3535	1573-2681	2017
10.1007/s00484-017-1476-0	Lund University	International Journal of Biometeorology	Environment	0020-7128	1432-1254	2017
10.1007/s00340-017-6855-z	Lund University	Applied Physics B	Physics	0946-2171	1432-0649	2017
10.1007/s10096-017-3139-9	University of Gothenburg	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2017
10.1007/s00186-017-0620-2	Lund University	Mathematical Methods of Operations Research	Mathematics	1432-2994	1432-5217	2017
10.1007/s00158-017-1844-8	Umea University	Structural and Multidisciplinary Optimization	Engineering	1615-147X	1615-1488	2017
10.1007/s00394-017-1563-3	Lund University	European Journal of Nutrition	Chemistry	1436-6207	1436-6215	2017
10.1007/s00267-017-0951-z	Umea University	Environmental Management	Environment	0364-152X	1432-1009	2017
10.1007/s12053-017-9581-9	Linnaeus University	Energy Efficiency	Engineering	1570-646X	1570-6478	2017
10.1007/s00265-017-2408-z	Stockholm University	Behavioral Ecology and Sociobiology	Life Sciences	0340-5443	1432-0762	2017
10.1007/s00125-017-4492-z	Karolinska Institute	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2017
10.1007/s13563-017-0125-8	Lulea University of Technology	Mineral Economics	Economics	2191-2203	2191-2211	2017
10.1007/s12145-017-0329-z	Uppsala University	Earth Science Informatics	Earth Sciences	1865-0473	1865-0481	2017
10.1007/s00170-017-1349-z	University West	The International Journal of Advanced Manufacturing Technology	Engineering	0268-3768	1433-3015	2017
10.1007/s10067-017-3894-0	Umea University	Clinical Rheumatology	Medicine & Public Health	0770-3198	1434-9949	2017
10.1007/s11187-017-9948-5	Blekinge Institute of Technology	Small Business Economics	Business and Management	0921-898X	1573-0913	2017
10.1007/s10479-017-2645-6	Linköping University	Annals of Operations Research	Business and Management	0254-5330	1572-9338	2017
10.1007/s40840-017-0575-8	Linköping University	Bulletin of the Malaysian Mathematical Sciences Society	Mathematics	0126-6705	2180-4206	2017
10.1007/s12053-017-9583-7	Royal Institute of Technology	Energy Efficiency	Engineering	1570-646X	1570-6478	2017
10.1007/s10677-017-9845-7	University of Gothenburg	Ethical Theory and Moral Practice	Philosophy	1386-2820	1572-8447	2017
10.1007/s00240-017-1020-z	Karolinska Institute	Urolithiasis	Medicine & Public Health	2194-7228	2194-7236	2017
10.1007/s00167-017-4814-1	Karolinska Institute	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2017
10.1007/s00415-017-8676-8	Karolinska Institute	Journal of Neurology	Medicine & Public Health	0340-5354	1432-1459	2017
10.1007/s00167-017-4793-2	University of Gothenburg	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2017
10.1007/s10853-017-1849-0	Linköping University	Journal of Materials Science	Materials Science	0022-2461	1573-4803	2017
10.1007/s10549-017-4555-3	Karolinska Institute	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2017
10.1007/s11217-017-9591-2	Södertörn University	Studies in Philosophy and Education	Education	0039-3746	1573-191X	2017
10.1007/s00359-017-1235-z	Lund University	Journal of Comparative Physiology A	Life Sciences	0340-7594	1432-1351	2017
10.1007/s00216-017-0735-6	Lund University	Analytical and Bioanalytical Chemistry	Chemistry	1618-2642	1618-2650	2017
10.1007/s00198-017-4296-5	University of Gothenburg	Osteoporosis International	Medicine & Public Health	0937-941X	1433-2965	2017
10.1007/s12678-017-0435-1	University of Gothenburg	Electrocatalysis	Chemistry	1868-2529	1868-5994	2017
10.1007/s10928-017-9550-0	Uppsala University	Journal of Pharmacokinetics and Pharmacodynamics	Biomedicine	1567-567X	1573-8744	2017
10.1007/s10904-017-0685-7	Lulea University of Technology	Journal of Inorganic and Organometallic Polymers and Materials	Chemistry	1574-1443	1574-1451	2017
10.1007/s11266-017-9917-2	University of Gothenburg	VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	Social Sciences	0957-8765	1573-7888	2017
10.1007/s11625-017-0502-9	Lund University	Sustainability Science	Environment	1862-4065	1862-4057	2017
10.1007/s41063-017-0034-7	Uppsala University	arktos	Earth Sciences	2364-9453	2364-9461	2017
10.1007/s10787-017-0418-0	Karolinska Institute	Inflammopharmacology	Biomedicine	0925-4692	1568-5608	2017
10.1007/s10841-017-0031-y	Swedish University of Agricultural Sciences	Journal of Insect Conservation	Life Sciences	1366-638X	1572-9753	2017
10.1007/s42001-017-0006-5	Linköping University	Journal of Computational Social Science	Economics	2432-2717	2432-2725	2017
10.1007/s00107-017-1264-x	Lund University	European Journal of Wood and Wood Products	Life Sciences	0018-3768	1436-736X	2017
10.1007/s00420-017-1275-2	Malmö University	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2017
10.1007/s00420-017-1277-0	Stockholm University	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2017
10.1007/s00170-017-1342-6	University West	The International Journal of Advanced Manufacturing Technology	Engineering	0268-3768	1433-3015	2017
10.1007/s11009-017-9595-y	Mälardalen University	Methodology and Computing in Applied Probability	Statistics	1387-5841	1573-7713	2017
10.1007/s10639-017-9669-z	Örebro University	Education and Information Technologies	Computer Science	1360-2357	1573-7608	2017
10.1007/s13348-017-0209-3	Stockholm University	Collectanea Mathematica	Mathematics	0010-0757	2038-4815	2017
10.1007/s11625-017-0499-0	Lund University	Sustainability Science	Environment	1862-4065	1862-4057	2017
10.1007/s00268-017-4324-9	University of Gothenburg	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2017
10.1007/s11097-017-9544-9	Södertörn University	Phenomenology and the Cognitive Sciences	Philosophy	1568-7759	1572-8676	2017
10.1007/s00421-017-3751-5	University of Gothenburg	European Journal of Applied Physiology	Biomedicine	1439-6319	1439-6327	2017
10.1007/s00220-017-3018-3	Uppsala University	Communications in Mathematical Physics	Physics	0010-3616	1432-0916	2017
10.1007/s00231-017-2192-3	Lulea University of Technology	Heat and Mass Transfer	Engineering	0947-7411	1432-1181	2017
10.1007/s10111-017-0448-9	Chalmers University of Technology	"Cognition, Technology & Work"	Computer Science	1435-5558	1435-5566	2017
10.1007/s11294-017-9655-7	Karlstad University	International Advances in Economic Research	Economics	1083-0898	1573-966X	2017
10.1007/s10588-017-9260-6	Stockholm University	Computational and Mathematical Organization Theory	Business and Management	1381-298X	1572-9346	2017
10.1007/s10503-017-9443-9	Lund University	Argumentation	Philosophy	0920-427X	1572-8374	2017
10.1007/s10494-017-9877-z	Royal Institute of Technology	"Flow, Turbulence and Combustion"	Engineering	1386-6184	1573-1987	2017
10.1007/s11191-017-9935-x	Linköping University	Science & Education	Education	0926-7220	1573-1901	2017
10.1007/s11948-017-9992-1	Royal Institute of Technology	Science and Engineering Ethics	Philosophy	1353-3452	1471-5546	2017
10.1007/s00167-017-4811-4	University of Gothenburg	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2017
10.1007/s00466-017-1511-3	Lund University	Computational Mechanics	Engineering	0178-7675	1432-0924	2017
10.1007/s00420-017-1276-1	Karolinska Institute	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2017
10.1007/s10340-017-0929-x	Lund University	Journal of Pest Science	Life Sciences	1612-4758	1612-4766	2017
10.1007/s13349-017-0252-5	Royal Institute of Technology	Journal of Civil Structural Health Monitoring	Engineering	2190-5452	2190-5479	2017
10.1007/s10851-017-0775-8	Linköping University	Journal of Mathematical Imaging and Vision	Computer Science	0924-9907	1573-7683	2017
10.1007/s10875-017-0455-x	Karolinska Institute	Journal of Clinical Immunology	Biomedicine	0271-9142	1573-2592	2017
10.1007/s00701-017-3358-y	Örebro University	Acta Neurochirurgica	Medicine & Public Health	0001-6268	0942-0940	2017
10.1007/s11600-017-0066-1	Lulea University of Technology	Acta Geophysica	Earth Sciences	1895-6572	1895-7455	2017
10.1007/s41809-017-0009-z	Örebro University	Journal of Cultural Cognitive Science	Psychology	2520-100X	2520-1018	2017
10.1007/s13280-017-0945-3	Royal Institute of Technology	Ambio	Environment	0044-7447	1654-7209	2017
10.1007/s13280-017-0935-5	Swedish University of Agricultural Sciences	Ambio	Environment	0044-7447	1654-7209	2017
10.1007/s13280-017-0933-7	University of Gothenburg	Ambio	Environment	0044-7447	1654-7209	2017
10.1007/s12369-017-0450-7	Uppsala University	International Journal of Social Robotics	Engineering	1875-4791	1875-4805	2017
10.1007/s40262-017-0577-6	Uppsala University	Clinical Pharmacokinetics	Medicine & Public Health	0312-5963	1179-1926	2017
10.1007/s13127-017-0331-9	University of Gothenburg	Organisms Diversity & Evolution	Life Sciences	1439-6092	1618-1077	2017
10.1007/s00192-017-3353-0	Umea University	International Urogynecology Journal	Medicine & Public Health	0937-3462	1433-3023	2017
10.1007/s10570-017-1633-y	Stockholm University	Cellulose	Chemistry	0969-0239	1572-882X	2017
10.1007/s10611-017-9748-5	University of Gothenburg	"Crime, Law and Social Change"	Criminology and Criminal Justice	0925-4994	1573-0751	2017
10.1007/s10798-017-9431-2	Linköping University	International Journal of Technology and Design Education	Education	0957-7572	1573-1804	2017
10.1007/s00787-017-1100-1	Uppsala University	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2017
10.1007/s10113-017-1257-7	Linköping University	Regional Environmental Change	Environment	1436-3798	1436-378X	2017
10.1007/s00426-017-0939-6	Uppsala University	Psychological Research	Psychology	0340-0727	1430-2772	2017
10.1007/s00128-017-2253-9	Stockholm University	Bulletin of Environmental Contamination and Toxicology	Environment	0007-4861	1432-0800	2017
10.1007/s10560-017-0526-0	Stockholm University	Child and Adolescent Social Work Journal	Psychology	0738-0151	1573-2797	2017
10.1007/s10888-017-9368-4	Linnaeus University	The Journal of Economic Inequality	Economics	1569-1721	1573-8701	2017
10.1007/s10596-017-9704-6	Royal Institute of Technology	Computational Geosciences	Earth Sciences	1420-0597	1573-1499	2017
10.1007/s00268-017-4328-5	Örebro University	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2017
10.1007/s11256-017-0437-6	University of Gothenburg	The Urban Review	Education	0042-0972	1573-1960	2017
10.1007/s12571-017-0742-7	Swedish University of Agricultural Sciences	Food Security	Life Sciences	1876-4517	1876-4525	2017
10.1007/s00787-017-1097-5	Uppsala University	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2017
10.1007/s11356-017-0925-y	Royal Institute of Technology	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2017
10.1007/s00228-017-2389-x	Umea University	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2017
10.1007/s00228-017-2391-3	Linköping University	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2017
10.1007/s10096-017-3141-2	Karolinska Institute	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2017
10.1007/s10029-017-1712-x	Umea University	Hernia	Medicine & Public Health	1265-4906	1248-9204	2017
10.1007/s10029-017-1705-9	Karolinska Institute	Hernia	Medicine & Public Health	1265-4906	1248-9204	2017
10.1007/s11663-017-1162-y	Royal Institute of Technology	Metallurgical and Materials Transactions B	Materials Science	1073-5615	1543-1916	2017
10.1007/s11075-017-0451-5	Uppsala University	Numerical Algorithms	Computer Science	1017-1398	1572-9265	2017
10.1007/s40520-017-0870-0	Lund University	Aging Clinical and Experimental Research	Medicine & Public Health		1720-8319	2017
10.1007/s10910-017-0837-6	Karolinska Institute	Journal of Mathematical Chemistry	Chemistry	0259-9791	1572-8897	2017
10.1007/s10071-017-1152-0	Lund University	Animal Cognition	Life Sciences	1435-9448	1435-9456	2017
10.1007/s11356-017-0907-0	Linköping University	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2017
10.1007/s00221-017-5137-7	Karolinska Institute	Experimental Brain Research	Biomedicine	0014-4819	1432-1106	2017
10.1007/s12549-017-0309-9	Swedish Museum of Natural History	Palaeobiodiversity and Palaeoenvironments	Earth Sciences	1867-1594	1867-1608	2017
10.1007/s11102-017-0855-1	Uppsala University	Pituitary	Medicine & Public Health	1386-341X	1573-7403	2017
10.1007/s10479-017-2721-y	Chalmers University of Technology	Annals of Operations Research	Business and Management	0254-5330	1572-9338	2017
10.1007/s00268-017-4423-7	Karolinska Institute	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2017
10.1007/s00021-017-0355-0	Lund University	Journal of Mathematical Fluid Mechanics	Physics	1422-6928	1422-6952	2017
10.1007/s11019-017-9818-6	Örebro University	"Medicine, Health Care and Philosophy"	Philosophy	1386-7423	1572-8633	2017
10.1007/s11158-017-9388-8	Lund University	Res Publica	Philosophy	1356-4765	1572-8692	2017
10.1007/s11158-017-9386-x	Stockholm University	Res Publica	Philosophy	1356-4765	1572-8692	2017
10.1007/s11191-017-9938-7	Linköping University	Science & Education	Education	0926-7220	1573-1901	2017
10.1007/s00228-017-2384-2	Umea University	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2017
10.1007/s00775-017-1522-8	Lund University	JBIC Journal of Biological Inorganic Chemistry	Life Sciences	0949-8257	1432-1327	2017
10.1007/s11846-017-0272-x	Umea University	Review of Managerial Science	Business and Management	1863-6683	1863-6691	2017
10.1007/s11557-017-1363-4	Swedish Museum of Natural History	Mycological Progress	Life Sciences	1617-416X	1861-8952	2017
10.1007/s00238-017-1378-8	University of Gothenburg	European Journal of Plastic Surgery	Medicine & Public Health	0930-343X	1435-0130	2017
10.1007/s00467-017-3848-4	Karolinska Institute	Pediatric Nephrology	Medicine & Public Health	0931-041X	1432-198X	2017
10.1007/s11663-017-1155-x	Royal Institute of Technology	Metallurgical and Materials Transactions B	Materials Science	1073-5615	1543-1916	2017
10.1007/s00365-017-9408-0	Stockholm University	Constructive Approximation	Mathematics	0176-4276	1432-0940	2017
10.1007/s00249-017-1271-1	Royal Institute of Technology	European Biophysics Journal	Life Sciences	0175-7571	1432-1017	2017
10.1007/s00023-017-0635-5	Uppsala University	Annales Henri Poincaré	Physics	1424-0637	1424-0661	2017
10.1007/s10530-017-1642-7	Umea University	Biological Invasions	Life Sciences	1387-3547	1573-1464	2017
10.1007/s11191-017-9950-y	Karlstad University	Science & Education	Education	0926-7220	1573-1901	2017
10.1007/s10712-017-9454-y	Uppsala University	Surveys in Geophysics	Earth Sciences	0169-3298	1573-0956	2017
10.1007/s00411-017-0725-2	Lund University	Radiation and Environmental Biophysics	Physics	0301-634X	1432-2099	2017
10.1007/s00415-017-8719-1	University of Gothenburg	Journal of Neurology	Medicine & Public Health	0340-5354	1432-1459	2017
10.1007/s00787-017-1093-9	Uppsala University	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2017
10.1007/s00425-017-2824-3	Linköping University	Planta	Life Sciences	0032-0935	1432-2048	2017
10.1007/s00192-017-3514-1	Umea University	International Urogynecology Journal	Medicine & Public Health	0937-3462	1433-3023	2017
10.1007/s11695-017-3061-3	University of Gothenburg	Obesity Surgery	Medicine & Public Health	0960-8923	1708-0428	2017
10.1007/s10912-017-9501-1	Linköping University	Journal of Medical Humanities	Cultural and Media Studies	1041-3545	1573-3645	2017
10.1007/s10578-017-0777-1	Karolinska Institute	Child Psychiatry & Human Development	Psychology	0009-398X	1573-3327	2017
10.1007/s11219-017-9396-0	Lund University	Software Quality Journal	Computer Science	0963-9314	1573-1367	2017
10.1007/s00592-017-1088-5	Lund University	Acta Diabetologica	Medicine & Public Health	0940-5429	1432-5233	2017
10.1007/s00268-017-4235-9	Karolinska Institute	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2017
10.1007/s40598-017-0077-7	Stockholm University	Arnold Mathematical Journal	Mathematics	2199-6792	2199-6806	2017
10.1007/s11229-017-1653-z	Uppsala University	Synthese	Philosophy	0039-7857	1573-0964	2017
10.1007/s11019-017-9816-8	Linköping University	"Medicine, Health Care and Philosophy"	Philosophy	1386-7423	1572-8633	2017
10.1007/s12138-017-0454-6	Stockholm University	International Journal of the Classical Tradition	Cultural and Media Studies	1073-0508	1874-6292	2017
10.1007/s13194-017-0196-y	Lund University	European Journal for Philosophy of Science	Philosophy	1879-4912	1879-4920	2017
10.1007/s12369-017-0446-3	University of Skövde	International Journal of Social Robotics	Engineering	1875-4791	1875-4805	2017
10.1007/s00228-017-2402-4	Linköping University	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2017
10.1007/s00394-017-1595-8	Lund University	European Journal of Nutrition	Chemistry	1436-6207	1436-6215	2017
10.1007/s11664-017-6015-6	University of Boras	Journal of Electronic Materials	Materials Science	0361-5235	1543-186X	2017
10.1007/s12124-017-9412-8	Lund University	Integrative Psychological and Behavioral Science	Psychology	1932-4502	1936-3567	2017
10.1007/s10687-017-0305-5	Chalmers University of Technology	Extremes	Statistics	1386-1999	1572-915X	2017
10.1007/s00701-017-3435-2	Lund University	Acta Neurochirurgica	Medicine & Public Health	0001-6268	0942-0940	2017
10.1007/s12149-017-1223-y	Lund University	Annals of Nuclear Medicine	Medicine & Public Health	0914-7187	1864-6433	2017
10.1007/s10018-017-0203-8	Umea University	Environmental Economics and Policy Studies	Economics	1432-847X	1867-383X	2017
10.1007/s11165-017-9684-5	Uppsala University	Research in Science Education	Education	0157-244X	1573-1898	2017
10.1007/s10806-017-9703-6	Linköping University	Journal of Agricultural and Environmental Ethics	Philosophy	1187-7863	1573-322X	2017
10.1007/s10611-017-9747-6	University of Gothenburg	"Crime, Law and Social Change"	Criminology and Criminal Justice	0925-4994	1573-0751	2017
10.1007/s10433-017-0448-x	Umea University	European Journal of Ageing	Social Sciences	1613-9372	1613-9380	2017
10.1007/s00484-017-1493-z	Lund University	International Journal of Biometeorology	Environment	0020-7128	1432-1254	2017
10.1007/s00216-017-0829-1	Chalmers University of Technology	Analytical and Bioanalytical Chemistry	Chemistry	1618-2642	1618-2650	2017
10.1007/s11356-017-0992-0	Lund University	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2017
10.1007/s00209-017-2008-7	Institute Mittag-Leffler	Mathematische Zeitschrift	Mathematics	0025-5874	1432-1823	2017
10.1007/s10803-017-3436-2	Örebro University	Journal of Autism and Developmental Disorders	Psychology	0162-3257	1573-3432	2017
10.1208/s12248-017-0166-5	Uppsala University	The AAPS Journal	Biomedicine		1550-7416	2017
10.1007/s00701-017-3418-3	Uppsala University	Acta Neurochirurgica	Medicine & Public Health	0001-6268	0942-0940	2017
10.1007/s40520-017-0882-9	Lulea University of Technology	Aging Clinical and Experimental Research	Medicine & Public Health		1720-8319	2017
10.1007/s11325-017-1597-z	Uppsala University	Sleep and Breathing	Medicine & Public Health	1520-9512	1522-1709	2017
10.1007/s11104-017-3444-1	Swedish University of Agricultural Sciences	Plant and Soil	Life Sciences	0032-079X	1573-5036	2017
10.1007/s00021-017-0346-1	Lund University	Journal of Mathematical Fluid Mechanics	Physics	1422-6928	1422-6952	2017
10.1007/s10877-017-0094-z	Karolinska Institute	Journal of Clinical Monitoring and Computing	Medicine & Public Health	1387-1307	1573-2614	2017
10.1007/s11250-017-1501-7	Swedish University of Agricultural Sciences	Tropical Animal Health and Production	Life Sciences	0049-4747	1573-7438	2017
10.1007/s10689-017-0067-x	Karolinska Institute	Familial Cancer	Biomedicine	1389-9600	1573-7292	2017
10.1007/s11019-017-9817-7	Karolinska Institute	"Medicine, Health Care and Philosophy"	Philosophy	1386-7423	1572-8633	2017
10.1007/s11098-017-1019-x	Uppsala University	Philosophical Studies	Philosophy	0031-8116	1573-0883	2017
10.1007/s00894-017-3561-z	Royal Institute of Technology	Journal of Molecular Modeling	Chemistry	1610-2940	0948-5023	2017
10.1007/s00125-017-4527-5	Karolinska Institute	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2017
10.1007/s00125-017-4512-z	Lund University	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2017
10.1007/s00766-017-0286-6	Royal Institute of Technology	Requirements Engineering	Computer Science	0947-3602	1432-010X	2017
10.1007/s11060-017-2699-y	University of Gothenburg	Journal of Neuro-Oncology	Medicine & Public Health	0167-594X	1573-7373	2017
10.1007/s10444-017-9575-3	Uppsala University	Advances in Computational Mathematics	Mathematics	1019-7168	1572-9044	2017
10.1007/s11666-017-0672-0	University West	Journal of Thermal Spray Technology	Materials Science	1059-9630	1544-1016	2017
10.1007/s10560-017-0522-4	Mälardalen University	Child and Adolescent Social Work Journal	Psychology	0738-0151	1573-2797	2017
10.1007/s10887-017-9152-0	University of Gothenburg	Journal of Economic Growth	Economics	1381-4338	1573-7020	2017
10.1007/s11695-017-3035-5	Uppsala University	Obesity Surgery	Medicine & Public Health	0960-8923	1708-0428	2017
10.1007/s00248-017-1115-7	Lund University	Microbial Ecology	Life Sciences	0095-3628	1432-184X	2017
10.1140/epjb/e2017-80432-9	Stockholm University	The European Physical Journal B	Physics	1434-6028	1434-6036	2017
10.1140/epja/i2017-12442-y	Uppsala University	The European Physical Journal A	Physics	1434-6001	1434-601X	2017
10.1007/s00167-017-4733-1	University of Gothenburg	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2017
10.1007/s11517-017-1725-8	Linköping University	Medical & Biological Engineering & Computing	Biomedicine	0140-0118	1741-0444	2017
10.1007/s11249-016-0716-5	Royal Institute of Technology	Tribology Letters	Materials Science	1023-8883	1573-2711	2016
10.1007/s11434-016-1146-3	Lund University	Science Bulletin	"Science, Humanities and Social Sciences,"	2095-9273	2095-9281	2016
10.1007/s00249-016-1158-6	Umea University	European Biophysics Journal	Life Sciences	0175-7571	1432-1017	2016
10.1007/s11663-016-0760-4	Royal Institute of Technology	Metallurgical and Materials Transactions B	Materials Science	1073-5615	1543-1916	2016
10.1007/s10726-016-9494-6	Stockholm University	Group Decision and Negotiation	Business and Management	0926-2644	1572-9907	2016
10.1007/s40141-016-0128-3	University of Gothenburg	Current Physical Medicine and Rehabilitation Reports	Medicine & Public Health		2167-4833	2016
10.1007/s10823-016-9296-y	Mälardalen University	Journal of Cross-Cultural Gerontology	Social Sciences	0169-3816	1573-0719	2016
10.1007/s10071-016-1016-z	Lund University	Animal Cognition	Life Sciences	1435-9448	1435-9456	2016
10.1007/s10107-016-1055-x	Chalmers University of Technology	Mathematical Programming	Mathematics	0025-5610	1436-4646	2016
10.1007/s11249-016-0727-2	Lulea University of Technology	Tribology Letters	Materials Science	1023-8883	1573-2711	2016
10.1007/s11252-016-0581-x	University of Gothenburg	Urban Ecosystems	Life Sciences	1083-8155	1573-1642	2016
10.1007/s00421-016-3428-5	Swedish School of Sport and Health Sciences (GIH)	European Journal of Applied Physiology	Biomedicine	1439-6319	1439-6327	2016
