doi	institution	journal_full_title	journal_discipline	journal_ISSN	journal_eISSN	year	publisher
10.1007/s00148-018-0702-3	lu	Journal of Population Economics	Economics	0933-1433	1432-1475	2018	Springer
10.1007/s00125-018-4621-3	uu	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018	Springer
10.1007/s00205-018-1223-7	liu	Archive for Rational Mechanics and Analysis	Physics	0003-9527	1432-0673	2018	Springer
10.1007/s00787-018-1160-x	kau	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2018	Springer
10.1007/s00340-018-6992-z	kth	Applied Physics B	Physics	0946-2171	1432-0649	2018	Springer
10.1007/s00125-018-4641-z	ki	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018	Springer
10.1007/s00223-018-0427-z	gu	Calcified Tissue International	Life Sciences	0171-967X	1432-0827	2018	Springer
10.1007/s10549-018-4803-1	umu	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2018	Springer
10.1007/s11998-018-0085-0	uu	Journal of Coatings Technology and Research	Materials Science	1547-0091	1935-3804	2018	Springer
10.1007/s11669-018-0636-1	kth	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018	Springer
10.1007/s00726-018-2571-1	uu	Amino Acids	Life Sciences	0939-4451	1438-2199	2018	Springer
10.1007/s10910-018-0906-5	ki	Journal of Mathematical Chemistry	Chemistry	0259-9791	1572-8897	2018	Springer
10.1007/s10973-018-7273-0 	lu	Journal of Thermal Analysis and Calorimetry	Chemistry	1388-6150	1588-2926	2018	Springer
10.1007/s10584-018-2228-9	lnu	Climatic Change	Earth Sciences	0165-0009	1573-1480	2018	Springer
10.1007/s10212-018-0391-z	umu	European Journal of Psychology of Education	Education	0256-2928	1878-5174	2018	Springer
10.1007/s10342-018-1123-2	slu	European Journal of Forest Research	Life Sciences	1612-4669	1612-4677	2018	Springer
10.1007/s10928-018-9594-9	uu	Journal of Pharmacokinetics and Pharmacodynamics	Biomedicine	1567-567X	1573-8744	2018	Springer
10.1007/s11669-018-0639-y	uu	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018	Springer
10.1007/s11095-018-2438-x	uu	Pharmaceutical Research	Biomedicine	0724-8741	1573-904X	2018	Springer
10.1007/s11692-018-9457-8	oru	Evolutionary Biology	Life Sciences	0071-3260	1934-2845	2018	Springer
10.1007/s00365-018-9437-3	cth	Constructive Approximation	Mathematics	0176-4276	1432-0940	2018	Springer
10.1007/s10943-018-0636-9	hig	Journal of Religion and Health	Medicine & Public Health	0022-4197	1573-6571	2018	Springer
10.1007/s10018-018-0219-8	hhs	Environmental Economics and Policy Studies	Economics	1432-847X	1867-383X	2018	Springer
10.1007/s11325-018-1673-z	gu	Sleep and Breathing	Medicine & Public Health	1520-9512	1522-1709	2018	Springer
10.1208/s12249-018-1024-1	uu	AAPS PharmSciTech	Biomedicine		1530-9932	2018	Springer
10.1007/s11225-018-9807-7	kth	Studia Logica	Philosophy	0039-3215	1572-8730	2018	Springer
10.1007/s10680-018-9492-2	su	European Journal of Population	Social Sciences	0168-6577	1572-9885	2018	Springer
10.1007/s10570-018-1860-x	kth	Cellulose	Chemistry	0969-0239	1572-882X	2018	Springer
10.1007/s11056-018-9660-6	slu	New Forests	Life Sciences	0169-4286	1573-5095	2018	Springer
10.1007/s10433-018-0480-5	lu	European Journal of Ageing	Social Sciences	1613-9372	1613-9380	2018	Springer
10.1007/s00421-018-3911-2	ki	European Journal of Applied Physiology	Biomedicine	1439-6319	1439-6327	2018	Springer
10.1007/s00401-018-1868-1	liu	Acta Neuropathologica	Medicine & Public Health	0001-6322	1432-0533	2018	Springer
10.1007/s00775-018-1583-3	su	JBIC Journal of Biological Inorganic Chemistry	Life Sciences	0949-8257	1432-1327	2018	Springer
10.1007/s00428-018-2386-1	ki	Virchows Archiv	Medicine & Public Health	0945-6317	1432-2307	2018	Springer
10.1007/s00192-018-3684-5	gu	International Urogynecology Journal	Medicine & Public Health	0937-3462	1433-3023	2018	Springer
10.1007/s11663-018-1274-z	hj	Metallurgical and Materials Transactions B	Materials Science	1073-5615	1543-1916	2018	Springer
10.1007/s10953-018-0774-4	cth	Journal of Solution Chemistry	Chemistry	0095-9782	1572-8927	2018	Springer
10.1007/s13181-018-0668-2	lakemedelsverket	Journal of Medical Toxicology	Biomedicine	1556-9039	1937-6995	2018	Springer
10.1007/s11081-018-9385-6	liu	Optimization and Engineering	Mathematics	1389-4420	1573-2924	2018	Springer
10.1007/s10853-018-2461-7	liu	Journal of Materials Science	Materials Science	0022-2461	1573-4803	2018	Springer
10.1007/s10915-018-0751-5	uu	Journal of Scientific Computing	Mathematics	0885-7474	1573-7691	2018	Springer
10.1007/s12571-018-0814-3	slu	Food Security	Life Sciences	1876-4517	1876-4525	2018	Springer
10.1007/s11071-018-4416-6	uu	Nonlinear Dynamics	Engineering	0924-090X	1573-269X	2018	Springer
10.1617/s11527-018-1206-z	cth	Materials and Structures	Engineering	1359-5997	1871-6873	2018	Springer
10.1007/s11829-018-9617-x	slu	Arthropod-Plant Interactions	Life Sciences	1872-8855	1872-8847	2018	Springer
10.1007/s10570-018-1902-4	cth	Cellulose	Chemistry	0969-0239	1572-882X	2018	Springer
10.1007/s00466-018-1588-3	cth	Computational Mechanics	Engineering	0178-7675	1432-0924	2018	Springer
10.1007/s11356-018-2358-7	oru	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018	Springer
10.1007/s00423-018-1684-z	oru	Langenbeck's Archives of Surgery	Medicine & Public Health	1435-2443	1435-2451	2018	Springer
10.1007/s11356-018-2448-6	su	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018	Springer
10.1007/s00415-018-8921-9	lu	Journal of Neurology	Medicine & Public Health	0340-5354	1432-1459	2018	Springer
10.1007/s11249-018-1048-4	uu	Tribology Letters	Materials Science	1023-8883	1573-2711	2018	Springer
10.1007/s11661-018-4767-0	hv	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2018	Springer
10.1007/s11695-018-3307-8	uu	Obesity Surgery	Medicine & Public Health	0960-8923	1708-0428	2018	Springer
10.1007/s12028-018-0558-0	gu	Neurocritical Care	Medicine & Public Health	1541-6933	1556-0961	2018	Springer
10.1007/s41063-018-0055-x	su	arktos	Earth Sciences	2364-9453	2364-9461	2018	Springer
10.1007/s10993-018-9478-2	lu	Language Policy	Linguistics	1568-4555	1573-1863	2018	Springer
10.1007/s10653-018-0132-x	slu	Environmental Geochemistry and Health	Environment	0269-4042	1573-2983	2018	Springer
10.1007/s10212-018-0390-0	lu	European Journal of Psychology of Education	Education	0256-2928	1878-5174	2018	Springer
10.1007/s10570-018-1898-9	lu	Cellulose	Chemistry	0969-0239	1572-882X	2018	Springer
10.1007/s12152-018-9372-9	uu	Neuroethics	Philosophy	1874-5490	1874-5504	2018	Springer
10.1007/s40869-018-0062-y	his	The Computer Games Journal	Computer Science		2052-773X	2018	Springer
10.1007/s10096-018-3311-x	lu	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2018	Springer
10.1007/s00442-018-4183-6	umu	Oecologia	Life Sciences	0029-8549	1432-1939	2018	Springer
10.1007/s11367-018-1491-3	cth	The International Journal of Life Cycle Assessment	Environment	0948-3349	1614-7502	2018	Springer
10.1007/s00330-018-5582-0	lu	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2018	Springer
10.1007/s10111-018-0499-6	foi	"Cognition, Technology & Work"	Computer Science	1435-5558	1435-5566	2018	Springer
10.1007/s00198-018-4593-7	lu	Osteoporosis International	Medicine & Public Health	0937-941X	1433-2965	2018	Springer
10.1007/s10853-018-2521-z	hb	Journal of Materials Science	Materials Science	0022-2461	1573-4803	2018	Springer
10.1007/s00607-018-0631-8	his	Computing	Computer Science	0010-485X	1436-5057	2018	Springer
10.1007/s11625-018-0584-z	hh	Sustainability Science	Environment	1862-4065	1862-4057	2018	Springer
10.1007/s10993-018-9472-8	kth	Language Policy	Linguistics	1568-4555	1573-1863	2018	Springer
10.1007/s10570-018-1875-3	cth	Cellulose	Chemistry	0969-0239	1572-882X	2018	Springer
10.1007/s00466-018-1584-7	cth	Computational Mechanics	Engineering	0178-7675	1432-0924	2018	Springer
10.1007/s10404-018-2094-9	lu	Microfluidics and Nanofluidics	Engineering	1613-4982	1613-4990	2018	Springer
10.1007/s00265-018-2529-z	lu	Behavioral Ecology and Sociobiology	Life Sciences	0340-5443	1432-0762	2018	Springer
10.1007/s00216-018-1173-9	su	Analytical and Bioanalytical Chemistry	Chemistry	1618-2642	1618-2650	2018	Springer
10.1007/s00231-018-2396-1	ltu	Heat and Mass Transfer	Engineering	0947-7411	1432-1181	2018	Springer
10.1007/s12076-018-0215-4	cth	Letters in Spatial and Resource Sciences	Economics	1864-4031	1864-404X	2018	Springer
10.1007/s00209-018-2087-0	cth	Mathematische Zeitschrift	Mathematics	0025-5874	1432-1823	2018	Springer
10.1007/s00228-018-2497-2	uu	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018	Springer
10.1007/s11538-018-0454-y	uu	Bulletin of Mathematical Biology	Mathematics	0092-8240	1522-9602	2018	Springer
10.1007/s11947-018-2138-x	cth	Food and Bioprocess Technology	Chemistry	1935-5130	1935-5149	2018	Springer
10.1007/s10578-018-0826-4	uu	Child Psychiatry & Human Development	Psychology	0009-398X	1573-3327	2018	Springer
10.1007/s10957-018-1328-z	lu	Journal of Optimization Theory and Applications	Mathematics	0022-3239	1573-2878	2018	Springer
10.1007/s11244-018-1011-5	uu	Topics in Catalysis	Chemistry	1022-5528	1572-9028	2018	Springer
10.1007/s10943-018-0646-7	hig	Journal of Religion and Health	Medicine & Public Health	0022-4197	1573-6571	2018	Springer
10.1007/s00268-018-4673-z	ki	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018	Springer
10.1007/s12053-018-9669-x	lu	Energy Efficiency	Engineering	1570-646X	1570-6478	2018	Springer
10.1007/s10817-018-9469-1	gu	Journal of Automated Reasoning	Computer Science	0168-7433	1573-0670	2018	Springer
10.1007/s00281-018-0688-7	ki	Seminars in Immunopathology	Biomedicine	1863-2297	1863-2300	2018	Springer
10.1007/s00228-018-2507-4	ki	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018	Springer
10.1007/s10096-018-3298-3	gu	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2018	Springer
10.1007/s00162-018-0469-x	kth	Theoretical and Computational Fluid Dynamics	Engineering	0935-4964	1432-2250	2018	Springer
10.1007/s00228-018-2508-3	gu	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018	Springer
10.1007/s00204-018-2239-3	ki	Archives of Toxicology	Biomedicine	0340-5761	1432-0738	2018	Springer
10.1007/s00787-018-1185-1	uu	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2018	Springer
10.1007/s11249-018-1023-0	ltu	Tribology Letters	Materials Science	1023-8883	1573-2711	2018	Springer
10.1007/s11669-018-0641-4	kth	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018	Springer
10.1007/s10470-018-1259-5	liu	Analog Integrated Circuits and Signal Processing	Engineering	0925-1030	1573-1979	2018	Springer
10.1007/s12350-018-1338-0	uu	Journal of Nuclear Cardiology	Medicine & Public Health	1071-3581	1532-6551	2018	Springer
10.1007/s10955-018-2071-4	su	Journal of Statistical Physics	Physics	0022-4715	1572-9613	2018	Springer
10.1007/s00702-018-1892-2	uu	Journal of Neural Transmission	Medicine & Public Health	0300-9564	1435-1463	2018	Springer
10.1007/s13324-018-0239-3	kth	Analysis and Mathematical Physics	Mathematics	1664-2368	1664-235X	2018	Springer
10.1007/s10817-018-9472-6	gu	Journal of Automated Reasoning	Computer Science	0168-7433	1573-0670	2018	Springer
10.1007/s10677-018-9897-3	gu	Ethical Theory and Moral Practice	Philosophy	1386-2820	1572-8447	2018	Springer
10.1007/s00769-018-1319-7	lu	Accreditation and Quality Assurance	Chemistry	0949-1775	1432-0517	2018	Springer
10.1007/s11356-018-2629-3	lu	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018	Springer
10.1007/s12553-018-0239-1	hj	Health and Technology	Engineering	2190-7188	2190-7196	2018	Springer
10.1007/s10096-018-3306-7	ki	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2018	Springer
10.1007/s00410-018-1482-1	nrm	Contributions to Mineralogy and Petrology	Earth Sciences	0010-7999	1432-0967	2018	Springer
10.1007/s00167-018-5010-7	gu	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018	Springer
10.1007/s00213-018-4953-1	liu	Psychopharmacology	Biomedicine	0033-3158	1432-2072	2018	Springer
10.1007/s10287-018-0319-8	liu	Computational Management Science	Business and Management	1619-697X	1619-6988	2018	Springer
10.1007/s11669-018-0648-x	kth	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018	Springer
10.3758/s13415-018-0610-8	ki	"Cognitive, Affective, & Behavioral Neuroscience"	Psychology	1530-7026	1531-135X	2018	Springer
10.1007/s00223-018-0446-9	uu	Calcified Tissue International	Life Sciences	0171-967X	1432-0827	2018	Springer
10.1007/s10728-018-0359-9	liu	Health Care Analysis	Medicine & Public Health	1065-3058	1573-3394	2018	Springer
10.1007/s10823-018-9351-y	mdh	Journal of Cross-Cultural Gerontology	Social Sciences	0169-3816	1573-0719	2018	Springer
10.1007/s10851-018-0826-9	kth	Journal of Mathematical Imaging and Vision	Computer Science	0924-9907	1573-7683	2018	Springer
10.1007/s10163-018-0751-4	cth	Journal of Material Cycles and Waste Management	Engineering	1438-4957	1611-8227	2018	Springer
10.1007/s00005-018-0516-8	hh	Archivum Immunologiae et Therapiae Experimentalis	Biomedicine	0004-069X	1661-4917	2018	Springer
10.1208/s12248-018-0239-0	uu	The AAPS Journal	Biomedicine		1550-7416	2018	Springer
10.1007/s11357-018-0029-8	ki	GeroScience	Life Sciences	2509-2715	2509-2723	2018	Springer
10.1007/s10750-018-3672-2	uu	Hydrobiologia	Life Sciences	0018-8158	1573-5117	2018	Springer
10.1007/s42081-018-0015-5	liu	Japanese Journal of Statistics and Data Science	Statistics	2520-8756	2520-8764	2018	Springer
10.1007/s10676-018-9459-3	kth	Ethics and Information Technology	Computer Science	1388-1957	1572-8439	2018	Springer
10.1007/s10531-018-1583-1	slu	Biodiversity and Conservation	Life Sciences	0960-3115	1572-9710	2018	Springer
10.1007/s12369-018-0486-3	slu	International Journal of Social Robotics	Engineering	1875-4791	1875-4805	2018	Springer
10.1007/s11186-018-9318-6	gu	Theory and Society	Social Sciences	0304-2421	1573-7853	2018	Springer
10.1007/s00167-018-5029-9	ki	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018	Springer
10.1007/s11858-018-0962-0	gu	ZDM	Education	1863-9690	1863-9704	2018	Springer
10.1007/s00784-018-2501-3	mau	Clinical Oral Investigations	Dentistry	1432-6981	1436-3771	2018	Springer
10.1007/s00345-018-2375-7	ki	World Journal of Urology	Medicine & Public Health	0724-4983	1433-8726	2018	Springer
10.1007/s10111-018-0497-8	ltu	"Cognition, Technology & Work"	Computer Science	1435-5558	1435-5566	2018	Springer
10.1007/s10856-018-6108-7	gu	Journal of Materials Science: Materials in Medicine	Materials Science	0957-4530	1573-4838	2018	Springer
10.1007/s11150-018-9420-6	lnu	Review of Economics of the Household	Economics	1569-5239	1573-7152	2018	Springer
10.1007/s10694-018-0743-x	kau	Fire Technology	Engineering	0015-2684	1572-8099	2018	Springer
10.1007/s10843-018-0235-6	liu	Journal of International Entrepreneurship	Business and Management	1570-7385	1573-7349	2018	Springer
10.1007/s11695-018-3348-z	ki	Obesity Surgery	Medicine & Public Health	0960-8923	1708-0428	2018	Springer
10.1007/s11625-018-0586-x	su	Sustainability Science	Environment	1862-4065	1862-4057	2018	Springer
10.1007/s11854-018-0029-8	liu	Journal d'Analyse MathXXXmatique	Mathematics	0021-7670	1565-8538	2018	Springer
10.1140/epjb/e2018-90166-9	kth	The European Physical Journal B	Physics	1434-6028	1434-6036	2018	Springer
10.1140/epja/i2018-12533-3	uu	The European Physical Journal A	Physics	1434-6001	1434-601X	2018	Springer
10.1007/s11432-017-9332-6	liu	Science China Information Sciences	Computer Science	1674--733X	1869--1919	2018	Springer
10.1007/s10551-018-3969-0	kth	Journal of Business Ethics	Philosophy	0167-4544	1573-0697	2018	Springer
10.1007/s10705-018-9935-5	slu	Nutrient Cycling in Agroecosystems	Life Sciences	1385-1314	1573-0867	2018	Springer
10.1007/s10838-018-9423-2	uu	Journal for General Philosophy of Science	Philosophy	0925-4560	1572-8587	2018	Springer
10.1007/s00167-018-5059-3	ki	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018	Springer
10.1007/s00228-018-2514-5	umu	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018	Springer
10.1007/s00265-018-2534-2	lu	Behavioral Ecology and Sociobiology	Life Sciences	0340-5443	1432-0762	2018	Springer
10.1007/s13563-018-0158-7	hh	Mineral Economics	Economics	2191-2203	2191-2211	2018	Springer
10.1007/s10803-018-3697-4	gu	Journal of Autism and Developmental Disorders	Psychology	0162-3257	1573-3432	2018	Springer
10.1007/s11661-018-4819-5	kth	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2018	Springer
10.1007/s11102-018-0902-6	lu	Pituitary	Medicine & Public Health	1386-341X	1573-7403	2018	Springer
10.1007/s10943-018-0670-7	gu	Journal of Religion and Health	Medicine & Public Health	0022-4197	1573-6571	2018	Springer
10.1007/s11266-018-0016-9	sh	VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	Social Sciences	0957-8765	1573-7888	2018	Springer
10.1007/s10072-018-3507-y	ki	Neurological Sciences	Medicine & Public Health	1590-1874	1590-3478	2018	Springer
10.1007/s10910-018-0932-3	ki	Journal of Mathematical Chemistry	Chemistry	0259-9791	1572-8897	2018	Springer
10.1007/s00020-018-2472-4	gu	Integral Equations and Operator Theory	Mathematics	0378-620X	1420-8989	2018	Springer
10.1007/s11098-018-1139-y	umu	Philosophical Studies	Philosophy	0031-8116	1573-0883	2018	Springer
10.1007/s11251-018-9469-x	liu	Instructional Science	Education	0020-4277	1573-1952	2018	Springer
10.1007/s10670-018-0048-y	uu	Erkenntnis	Philosophy	0165-0106	1572-8420	2018	Springer
10.1007/s10730-018-9356-5	kth	HEC Forum	Philosophy	0956-2737	1572-8498	2018	Springer
10.1007/s10708-018-9906-z	lnu	GeoJournal	Social Sciences	0343-2521	1572-9893	2018	Springer
10.1007/s10817-018-9474-4	gu	Journal of Automated Reasoning	Computer Science	0168-7433	1573-0670	2018	Springer
10.1007/s40194-018-0626-2	cth	Welding in the World	Materials Science	0043-2288	1878-6669	2018	Springer
10.1007/s00784-018-2533-8	hk	Clinical Oral Investigations	Dentistry	1432-6981	1436-3771	2018	Springer
10.1007/s12022-018-9539-2	ki	Endocrine Pathology	Medicine & Public Health	1046-3976	1559-0097	2018	Springer
10.1007/s12020-018-1665-6	oru	Endocrine	Medicine & Public Health	1355-008X	1559-0100	2018	Springer
10.1007/s11127-018-0591-8	su	Public Choice	Economics	0048-5829	1573-7101	2018	Springer
10.1007/s11244-018-1017-z	cth	Topics in Catalysis	Chemistry	1022-5528	1572-9028	2018	Springer
10.1007/s11669-018-0656-x	kth	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018	Springer
10.1007/s10515-018-0238-5	lu	Automated Software Engineering	Computer Science	0928-8910	1573-7535	2018	Springer
10.1007/s11627-018-9911-4	slu	In Vitro Cellular & Developmental Biology - Plant	Life Sciences	1054-5476	1475-2689	2018	Springer
10.1007/s40520-018-1004-z	ki	Aging Clinical and Experimental Research	Medicine & Public Health		1720-8319	2018	Springer
10.1007/s40471-018-0159-7	ki	Current Epidemiology Reports	Medicine & Public Health		2196-2995	2018	Springer
10.1007/s10973-018-7564-5	kth	Journal of Thermal Analysis and Calorimetry	Chemistry	1388-6150	1588-2926	2018	Springer
10.1007/s10798-018-9463-2	kth	International Journal of Technology and Design Education	Education	0957-7572	1573-1804	2018	Springer
10.1007/s13243-018-0047-9	liu	Journal of Remanufacturing	Engineering	2210-464X	2210-4690	2018	Springer
10.1007/s00294-018-0869-x	su	Current Genetics	Life Sciences	0172-8083	1432-0983	2018	Springer
10.1007/s00167-018-5047-7	gu	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018	Springer
10.1007/s40194-018-0622-6	cth	Welding in the World	Materials Science	0043-2288	1878-6669	2018	Springer
10.1007/s00125-018-4675-2	uu	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018	Springer
10.1007/s00224-018-9879-9	gu	Theory of Computing Systems	Computer Science	1432-4350	1433-0490	2018	Springer
10.1007/s11669-018-0660-1	kth	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018	Springer
10.1007/s12220-018-0068-5	cth	The Journal of Geometric Analysis	Mathematics	1050-6926	1559-002X	2018	Springer
10.1007/s00246-018-1939-z	lu	Pediatric Cardiology	Medicine & Public Health	0172-0643	1432-1971	2018	Springer
10.1007/s12020-018-1674-5	uu	Endocrine	Medicine & Public Health	1355-008X	1559-0100	2018	Springer
10.1007/s10899-018-9785-8	lu	Journal of Gambling Studies	Medicine & Public Health		1573-3602	2018	Springer
10.1208/s12248-018-0240-7	uu	The AAPS Journal	Biomedicine		1550-7416	2018	Springer
10.1208/s12248-018-0242-5	uu	The AAPS Journal	Biomedicine		1550-7416	2018	Springer
10.1007/s10654-018-0429-1	lu	European Journal of Epidemiology	Medicine & Public Health	0393-2990	1573-7284	2018	Springer
10.1007/s10676-018-9465-5	kth	Ethics and Information Technology	Computer Science	1388-1957	1572-8439	2018	Springer
10.1007/s10534-018-0131-5	ki	BioMetals	Life Sciences	0966-0844	1572-8773	2018	Springer
10.1007/s10543-018-0715-z	uu	BIT Numerical Mathematics	Mathematics	0006-3835	1572-9125	2018	Springer
10.1007/s10584-018-2237-8	liu	Climatic Change	Earth Sciences	0165-0009	1573-1480	2018	Springer
10.1007/s11218-018-9457-7	liu	Social Psychology of Education	Education	1381-2890	1573-1928	2018	Springer
10.1007/s12053-018-9692-y	umu	Energy Efficiency	Engineering	1570-646X	1570-6478	2018	Springer
10.1007/s00125-018-4686-z	uu	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018	Springer
10.1007/s00384-018-3124-5	ki	International Journal of Colorectal Disease	Medicine & Public Health	0179-1958	1432-1262	2018	Springer
10.1007/s00394-018-1788-9	lu	European Journal of Nutrition	Chemistry	1436-6207	1436-6215	2018	Springer
10.1007/s11367-018-1503-3	cth	The International Journal of Life Cycle Assessment	Environment	0948-3349	1614-7502	2018	Springer
10.1007/s12665-018-7704-z	su	Environmental Earth Sciences	Earth Sciences	1866-6280	1866-6299	2018	Springer
10.1007/s10904-018-0926-4	cth	Journal of Inorganic and Organometallic Polymers and Materials	Chemistry	1574-1443	1574-1451	2018	Springer
10.1007/s12529-018-9716-1	ki	International Journal of Behavioral Medicine	Medicine & Public Health	1070-5503	1532-7558	2018	Springer
10.1007/s11910-018-0866-y	liu	Current Neurology and Neuroscience Reports	Medicine & Public Health	1528-4042	1534-6293	2018	Springer
10.1007/s00248-018-1229-6	lnu	Microbial Ecology	Life Sciences	0095-3628	1432-184X	2018	Springer
10.1007/s00701-018-3622-9	uu	Acta Neurochirurgica	Medicine & Public Health	0001-6268	0942-0940	2018	Springer
10.1007/s40598-018-0088-z	su	Arnold Mathematical Journal	Mathematics	2199-6792	2199-6806	2018	Springer
10.1245/s10434-018-6627-y	ki	Annals of Surgical Oncology	Medicine & Public Health	1068-9265	1534-4681	2018	Springer
10.1007/s10654-018-0425-5	ki	European Journal of Epidemiology	Medicine & Public Health	0393-2990	1573-7284	2018	Springer
10.1007/s11217-018-9618-3	mau	Studies in Philosophy and Education	Education	0039-3746	1573-191X	2018	Springer
10.1007/s12053-018-9709-6	gu	Energy Efficiency	Engineering	1570-646X	1570-6478	2018	Springer
10.1007/s00211-018-0985-z	lu	Numerische Mathematik	Mathematics	0029-599X	0945-3245	2018	Springer
10.1007/s10067-018-4195-y	umu	Clinical Rheumatology	Medicine & Public Health	0770-3198	1434-9949	2018	Springer
10.1007/s10845-018-1440-9	kth	Journal of Intelligent Manufacturing	Business and Management	0956-5515	1572-8145	2018	Springer
10.1007/s11695-018-3377-7	oru	Obesity Surgery	Medicine & Public Health	0960-8923	1708-0428	2018	Springer
10.1007/s12350-018-1349-x	uu	Journal of Nuclear Cardiology	Medicine & Public Health	1071-3581	1532-6551	2018	Springer
10.1007/s11187-018-0072-y	lu	Small Business Economics	Business and Management	0921-898X	1573-0913	2018	Springer
10.1007/s10687-018-0325-9	cth	Extremes	Statistics	1386-1999	1572-915X	2018	Springer
10.1007/s11104-018-3738-y	slu	Plant and Soil	Life Sciences	0032-079X	1573-5036	2018	Springer
10.1007/s11250-018-1658-8	slu	Tropical Animal Health and Production	Life Sciences	0049-4747	1573-7438	2018	Springer
10.1007/s11217-018-9619-2	umu	Studies in Philosophy and Education	Education	0039-3746	1573-191X	2018	Springer
10.1007/s12187-018-9584-x	kau	Child Indicators Research	Social Sciences	1874-897X	1874-8988	2018	Springer
10.1007/s00384-018-3125-4	ki	International Journal of Colorectal Disease	Medicine & Public Health	0179-1958	1432-1262	2018	Springer
10.1007/s00208-018-1719-3	lu	Mathematische Annalen	Mathematics	0025-5831	1432-1807	2018	Springer
10.1007/s00170-018-2360-8	his	The International Journal of Advanced Manufacturing Technology	Engineering	0268-3768	1433-3015	2018	Springer
10.1007/s10514-018-9785-7	hh	Autonomous Robots	Engineering	0929-5593	1573-7527	2018	Springer
10.1007/s11187-018-0075-8	liu	Small Business Economics	Business and Management	0921-898X	1573-0913	2018	Springer
10.1007/s12020-018-1655-8	lu	Endocrine	Medicine & Public Health	1355-008X	1559-0100	2018	Springer
10.1007/s12155-018-9929-9	slu	BioEnergy Research	Life Sciences	1939-1234	1939-1242	2018	Springer
10.1007/s00701-018-3620-y	lu	Acta Neurochirurgica	Medicine & Public Health	0001-6268	0942-0940	2018	Springer
10.1007/s11661-018-4787-9	hj	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2018	Springer
10.1007/s11225-018-9804-x	lu	Studia Logica	Philosophy	0039-3215	1572-8730	2018	Springer
10.1007/s11269-018-2034-1	su	Water Resources Management	Earth Sciences	0920-4741	1573-1650	2018	Springer
10.1007/s10725-018-0423-3	lu	Plant Growth Regulation	Life Sciences	0167-6903	1573-5087	2018	Springer
10.1007/s12132-018-9339-2	slu	Urban Forum	Social Sciences	1015-3802	1874-6330	2018	Springer
10.1007/s12080-018-0384-1	cth	Theoretical Ecology	Life Sciences	1874-1738	1874-1746	2018	Springer
10.1007/s00430-018-0554-1	umu	Medical Microbiology and Immunology	Biomedicine	0300-8584	1432-1831	2018	Springer
10.1007/s10336-018-1586-4	lu	Journal of Ornithology	Life Sciences	2193-7192	2193-7206	2018	Springer
10.1007/s00227-018-3388-x	gu	Marine Biology	Life Sciences	0025-3162	1432-1793	2018	Springer
10.1007/s00405-018-5069-2	gu	European Archives of Oto-Rhino-Laryngology	Medicine & Public Health	0937-4477	1434-4726	2018	Springer
10.1007/s00382-018-4332-y	ltu	Climate Dynamics	Earth Sciences	0930-7575	1432-0894	2018	Springer
10.1007/s00211-018-0990-2	umu	Numerische Mathematik	Mathematics	0029-599X	0945-3245	2018	Springer
